,Partner,Wkt,Runs,In,Out,Inns,Opposition,Ground,Start Date,Match,Batsman,NO,Format
783,RJ Campbell,1,1,-,1/1,2,New Zealand,Sydney,17 Jan 2002,1786,ME Waugh,False,ODI
784,DM Jones,4,38,3/147,4/185,1,New Zealand,Sydney,29 Jan 1986,359,SR Waugh,False,ODI
785,RJ Bright,7,0,6/228,7/228,2,New Zealand,Wellington,26 Mar 1986,372,SR Waugh,False,ODI
786,GM Ritchie,4,9,3/87,4/96,1,New Zealand,Auckland,29 Mar 1986,373,SR Waugh,False,ODI
787,DM Wellham,5,46,4/112,5/158,1,West Indies,Sydney,28 Jan 1987,427,SR Waugh,False,ODI
788,DM Wellham,5,44,4/80,5/124,2,England,Sydney,11 Feb 1987,433,SR Waugh,False,ODI
789,GC Dyer,6,47,5/155,6/202,1,Zimbabwe,Chennai,13 Oct 1987,456,SR Waugh,False,ODI
790,AR Border,5,38,4/184,5/222,1,England,Melbourne,4 Feb 1988,503,SR Waugh,False,ODI
791,PL Taylor,6,9,5/199,6/208,1,Pakistan,Lahore,14 Oct 1988,522,SR Waugh,False,ODI
792,ME Waugh,4,3,3/141,4/144,2,West Indies,Sydney,13 Dec 1988,539,SR Waugh,False,ODI
793,ME Waugh,4,58,3/110,4/168,2,West Indies,Melbourne,15 Dec 1988,540,SR Waugh,False,ODI
794,DC Boon,4,26,3/187,4/213,3,West Indies,Adelaide,3 Feb 1989,1114,SR Waugh,False,Test
795,IA Healy,6,31,5/174,6/205,2,England,Nottingham,27 May 1989,567,SR Waugh,False,ODI
796,DM Jones,4,5,3/160,4/165,1,Sri Lanka,Margao,25 Oct 1989,585,SR Waugh,False,ODI
797,DM Jones,3,5,2/148,3/153,1,New Zealand,Christchurch,4 Mar 1990,615,SR Waugh,False,ODI
798,DC Boon,4,81,3/115,4/196,1,New Zealand,Sharjah,26 Apr 1990,624,SR Waugh,False,ODI
799,MR Whitney,9,9,8/155,9/164,1,England,Sydney,5 Mar 1992,731,SR Waugh,False,ODI
800,DR Martyn,5,8,4/164,5/172,1,Pakistan,Hobart,10 Dec 1992,773,SR Waugh,False,ODI
801,ME Waugh,4,23,3/63,4/86,1,West Indies,Melbourne,15 Dec 1992,780,SR Waugh,False,ODI
802,IA Healy,6,19,5/94,6/113,1,West Indies,Melbourne,18 Jan 1993,793,SR Waugh,False,ODI
803,IA Healy,6,15,5/151,6/166,1,South Africa,Melbourne,9 Dec 1993,860,SR Waugh,False,ODI
804,ME Waugh,3,17,2/140,3/157,1,India,Mumbai,27 Feb 1996,1065,SR Waugh,False,ODI
805,SG Law,3,25,2/202,3/227,1,West Indies,Brisbane,5 Jan 1997,1159,SR Waugh,False,ODI
806,GS Blewett,4,5,3/129,4/134,1,South Africa,East London,29 Mar 1997,1186,SR Waugh,False,ODI
807,MG Bevan,5,29,4/181,5/210,1,South Africa,Sydney,27 Jan 1998,1287,SR Waugh,False,ODI
808,GR Robertson,8,10,7/168,8/178,1,India,Kolkata,18 Mar 1998,1409,SR Waugh,False,Test
809,MG Bevan,5,20,4/177,5/197,1,India,Sharjah,22 Apr 1998,1325,SR Waugh,False,ODI
810,RT Ponting,4,38,3/118,4/156,1,India,Melbourne,12 Jan 2000,1539,SR Waugh,False,ODI
811,S Lee,6,7,5/290,6/297,1,Pakistan,Sydney,4 Feb 2000,1556,SR Waugh,False,ODI
812,AC Gilchrist,6,95,5/244,6/339,4,New Zealand,Perth,30 Nov 2001,1573,SR Waugh,False,Test
813,DR Martyn,5,81,4/348,5/429,2,South Africa,Melbourne,26 Dec 2001,1580,SR Waugh,False,Test
814,DR Martyn,5,31,4/104,5/135,2,New Zealand,Melbourne,11 Jan 2002,1783,SR Waugh,False,ODI
815,AJ Bichel,7,3,6/283,7/286,1,India,Mumbai,1 Nov 2003,2054,MJ Clarke,False,ODI
816,MG Bevan,4,77,3/128,4/205,1,Zimbabwe,Adelaide,26 Jan 2004,2089,MJ Clarke,False,ODI
817,JN Gillespie,5,11,4/215,5/226,2,New Zealand,Auckland,26 Mar 2005,1744,MJ Clarke,False,Test
818,A Symonds,5,4,4/163,5/167,1,South Africa,Melbourne (Docklands),3 Feb 2006,2322,MJ Clarke,False,ODI
819,NW Bracken,10,39,9/213,10/252,2,Sri Lanka,Adelaide,10 Feb 2006,2326,MJ Clarke,False,ODI
820,B Lee,6,1,5/243,6/244,1,South Africa,Port Elizabeth,5 Mar 2006,2347,MJ Clarke,False,ODI
821,MEK Hussey,5,22,4/133,5/155,2,Bangladesh,Chattogram,23 Apr 2006,2365,MJ Clarke,False,ODI
822,A Symonds,5,6,4/149,5/155,1,England,Sydney,9 Jan 2007,13,MJ Clarke,False,T20I
823,MEK Hussey,5,33,4/196,5/229,1,England,Melbourne,9 Feb 2007,2515,MJ Clarke,False,ODI
824,A Symonds,4,19,3/328,4/347,1,South Africa,Basseterre,24 Mar 2007,2552,MJ Clarke,False,ODI
825,BJ Hodge,6,4,5/155,6/159,1,Pakistan,Johannesburg,18 Sep 2007,37,MJ Clarke,False,T20I
826,B Lee,7,0,6/307,7/307,1,India,Bengaluru,29 Sep 2007,2621,MJ Clarke,False,ODI
827,A Symonds,4,8,3/178,4/186,3,West Indies,North Sound,30 May 2008,1877,MJ Clarke,False,Test
828,MEK Hussey,3,3,2/84,3/87,1,Bangladesh,Darwin,6 Sep 2008,2762,MJ Clarke,False,ODI
829,SM Katich,4,13,3/40,4/53,3,New Zealand,Brisbane,20 Nov 2008,1894,MJ Clarke,False,Test
830,DJ Hussey,4,24,3/27,4/51,1,New Zealand,Perth,1 Feb 2009,2811,MJ Clarke,False,ODI
831,MEK Hussey,4,3,3/217,4/220,4,England,The Oval,20 Aug 2009,1931,MJ Clarke,False,Test
832,MEK Hussey,4,14,3/96,4/110,1,England,Chester-le-Street,20 Sep 2009,2892,MJ Clarke,False,ODI
833,CL White,4,102,3/84,4/186,2,Pakistan,Brisbane,22 Jan 2010,2944,MJ Clarke,False,ODI
834,RT Ponting,3,22,2/55,3/77,1,Pakistan,Perth,29 Jan 2010,2947,MJ Clarke,False,ODI
835,CL White,4,82,3/132,4/214,2,New Zealand,Christchurch,28 Feb 2010,149,MJ Clarke,False,T20I
836,BJ Haddin,3,47,2/31,3/78,2,West Indies,Gros Islet,11 May 2010,174,MJ Clarke,False,T20I
837,JW Hastings,8,10,7/317,8/327,2,England,Sydney,2 Feb 2011,3094,MJ Clarke,False,ODI
838,RT Ponting,2,102,1/21,2/123,1,South Africa,Centurion,19 Oct 2011,3203,MJ Clarke,False,ODI
839,DJ Hussey,5,10,4/256,5/266,1,Sri Lanka,Adelaide,6 Mar 2012,3256,MJ Clarke,False,ODI
840,SPD Smith,4,6,3/49,4/55,1,England,Manchester,10 Jul 2012,3286,MJ Clarke,False,ODI
841,MJ Clarke,5,1,4/110,5/111,2,Sri Lanka,Sydney,22 Jan 2006,2317,MEK Hussey,False,ODI
842,MJ Clarke,6,34,5/122,6/156,2,Sri Lanka,Adelaide,10 Feb 2006,2326,MEK Hussey,False,ODI
843,A Symonds,6,52,5/140,6/192,2,South Africa,Durban,10 Mar 2006,2348,MEK Hussey,False,ODI
844,BJ Hodge,5,13,4/266,5/279,2,New Zealand,Melbourne,4 Feb 2007,2501,MEK Hussey,False,ODI
845,A Symonds,4,29,3/19,4/48,1,Zimbabwe,Cape Town,12 Sep 2007,23,MEK Hussey,False,T20I
846,GB Hogg,7,39,6/173,7/212,1,India,Sydney,2 Mar 2008,2688,MEK Hussey,False,ODI
847,SR Watson,5,10,4/255,5/265,2,India,Nagpur,6 Nov 2008,1892,MEK Hussey,False,Test
848,L Ronchi,6,0,5/154,6/154,1,South Africa,Melbourne,11 Jan 2009,80,MEK Hussey,False,T20I
849,RT Ponting,3,21,2/144,3/165,1,South Africa,Sydney,23 Jan 2009,2802,MEK Hussey,False,ODI
850,DJ Hussey,4,0,3/70,4/70,1,South Africa,Johannesburg,27 Mar 2009,87,MEK Hussey,False,T20I
851,SPD Smith,8,0,7/191,8/191,1,Pakistan,Gros Islet,2 May 2010,156,MEK Hussey,False,T20I
852,MJ Clarke,5,3,4/263,5/266,1,England,The Oval,30 Jun 2010,3004,MEK Hussey,False,ODI
853,DA Warner,3,71,2/37,3/108,2,South Africa,Port Elizabeth,23 Oct 2011,3208,MEK Hussey,False,ODI
854,RT Ponting,5,50,4/470,5/520,1,India,Adelaide,24 Jan 2012,2031,MEK Hussey,False,Test
855,DA Warner,3,31,2/26,3/57,1,India,Sydney,26 Feb 2012,3250,MEK Hussey,False,ODI
856,MS Wade,3,4,2/115,3/119,1,Sri Lanka,Adelaide,8 Mar 2012,3257,MEK Hussey,False,ODI
857,MJ Clarke,4,56,3/195,4/251,2,Sri Lanka,Sydney,3 Jan 2013,2070,MEK Hussey,False,Test
858,CP Mead,2,10,1/85,2/95,1,Australia,Brisbane,30 Nov 1928,176,JB Hobbs,False,Test
859,H Sutcliffe,1,24,-,1/24,3,Australia,Leeds,11 Jul 1930,196,JB Hobbs,False,Test
860,CF Walters,1,63,-,1/63,2,West Indies,Manchester,22 Jul 1933,228,H Sutcliffe,False,Test
861,WJ Cronje,3,4,2/36,3/40,1,Australia,Melbourne,9 Dec 1997,1257,HH Gibbs,False,ODI
862,G Kirsten,1,6,-,1/6,4,New Zealand,Wellington,18 Mar 1999,1452,HH Gibbs,False,Test
863,DJ Cullinan,3,88,2/19,3/107,2,New Zealand,Napier,26 Mar 1999,1421,HH Gibbs,False,ODI
864,MV Boucher,2,24,1/0,2/24,2,Zimbabwe,Chelmsford,29 May 1999,1468,HH Gibbs,False,ODI
865,DJ Cullinan,3,30,2/57,3/87,1,England,Port Elizabeth,9 Dec 1999,1475,HH Gibbs,False,Test
866,LJ Koen,1,23,-,1/23,1,Zimbabwe,Port Elizabeth,6 Feb 2000,1558,HH Gibbs,False,ODI
867,MV Boucher,5,35,4/126,5/161,1,India,Nagpur,19 Mar 2000,1576,HH Gibbs,False,ODI
868,JN Rhodes,5,12,4/180,5/192,2,Sri Lanka,Bloemfontein,14 Jan 2001,1671,HH Gibbs,False,ODI
869,G Kirsten,1,11,-,1/11,1,West Indies,Kingston,28 Apr 2001,1712,HH Gibbs,False,ODI
870,GC Smith,1,63,-,1/63,1,Australia,Cape Town,9 Apr 2002,1827,HH Gibbs,False,ODI
871,G Kirsten,2,141,1/61,2/202,2,Bangladesh,Potchefstroom,25 Oct 2002,1621,HH Gibbs,False,Test
872,JH Kallis,3,140,2/71,3/211,2,Sri Lanka,Centurion,15 Nov 2002,1626,HH Gibbs,False,Test
873,JA Rudolph,2,21,1/112,2/133,1,Bangladesh,Dhaka,14 Apr 2003,2003,HH Gibbs,False,ODI
874,GC Smith,1,24,-,1/24,2,England,Manchester,3 Jul 2003,2032,HH Gibbs,False,ODI
875,JH Kallis,3,86,2/6,3/92,3,Australia,Sydney,2 Jan 2006,1780,HH Gibbs,False,Test
876,JA Rudolph,3,27,2/30,3/57,2,Sri Lanka,Brisbane,17 Jan 2006,2315,HH Gibbs,False,ODI
877,GC Smith,2,4,1/24,2/28,2,Australia,Centurion,26 Feb 2006,2341,HH Gibbs,False,ODI
878,HH Dippenaar,2,28,1/15,2/43,2,Australia,Port Elizabeth,5 Mar 2006,2347,HH Gibbs,False,ODI
879,AB de Villiers,3,137,2/97,3/234,1,Pakistan,Lahore,18 Oct 2007,2633,HH Gibbs,False,ODI
880,S Abid Ali,8,85,7/143,8/228,2,England,Manchester,6 Jun 1974,739,SM Gavaskar,False,Test
881,GR Viswanath,3,70,2/59,3/129,2,England,Birmingham,12 Jul 1979,851,SM Gavaskar,False,Test
882,RMH Binny,1,32,-,1/32,2,New Zealand,Brisbane,18 Jan 1981,109,SM Gavaskar,False,ODI
883,GR Viswanath,3,87,2/79,3/166,2,England,Kanpur,30 Jan 1982,920,SM Gavaskar,False,Test
884,J Arun Lal,1,10,-,1/10,1,Pakistan,Karachi,23 Dec 1982,942,SM Gavaskar,False,Test
885,M Amarnath,2,59,1/93,2/152,1,West Indies,Albion,29 Mar 1983,191,SM Gavaskar,False,ODI
886,DB Vengsarkar,4,57,3/41,4/98,2,Australia,Sharjah,29 Mar 1985,325,SM Gavaskar,False,ODI
887,DB Vengsarkar,5,11,4/185,5/196,2,Sri Lanka,Colombo (SSC),25 Aug 1985,332,SM Gavaskar,False,ODI
888,G Sharma,9,16,8/202,9/218,1,Sri Lanka,Colombo (SSC),30 Aug 1985,1023,SM Gavaskar,False,Test
889,K Srikkanth,1,86,-,1/86,2,Australia,Jaipur,7 Sep 1986,390,SM Gavaskar,False,ODI
890,M Azharuddin,3,27,2/81,3/108,1,Australia,Srinagar,9 Sep 1986,391,SM Gavaskar,False,ODI
891,R Lamba,1,21,-,1/21,1,Pakistan,Pune,22 Mar 1987,438,SM Gavaskar,False,ODI
892,K Srikkanth,1,11,-,1/11,1,New Zealand,Bengaluru,14 Oct 1987,458,SM Gavaskar,False,ODI
893,GR Viswanath,3,14,2/16,3/30,1,New Zealand,Christchurch,21 Feb 1976,35,DB Vengsarkar,False,ODI
894,M Amarnath,5,76,4/72,5/148,1,Pakistan,Quetta,1 Oct 1978,54,DB Vengsarkar,False,ODI
895,Yashpal Sharma,6,1,5/178,6/179,2,New Zealand,Brisbane,18 Jan 1981,109,DB Vengsarkar,False,ODI
896,SM Gavaskar,2,1,1/9,2/10,2,New Zealand,Auckland,14 Feb 1981,116,DB Vengsarkar,False,ODI
897,SM Gavaskar,2,173,1/156,2/329,2,Sri Lanka,Chennai,17 Sep 1982,934,DB Vengsarkar,False,Test
898,M Amarnath,3,71,2/13,3/84,2,Pakistan,Gujranwala,3 Dec 1982,162,DB Vengsarkar,False,ODI
899,N Kapil Dev,4,36,3/147,4/183,1,England,Sydney,26 Feb 1985,312,DB Vengsarkar,False,ODI
900,M Azharuddin,4,50,3/111,4/161,1,Sri Lanka,Kandy,14 Sep 1985,1025,DB Vengsarkar,False,Test
901,SM Gavaskar,4,68,3/75,4/143,2,Sri Lanka,Colombo (PSS),21 Sep 1985,333,DB Vengsarkar,False,ODI
902,M Azharuddin,4,40,3/29,4/69,1,Australia,Brisbane,12 Jan 1986,349,DB Vengsarkar,False,ODI
903,RJ Shastri,4,10,3/37,4/47,2,Sri Lanka,Kanpur,24 Dec 1986,407,DB Vengsarkar,False,ODI
904,K Srikkanth,3,0,2/79,3/79,2,New Zealand,Visakhapatnam,10 Dec 1988,536,DB Vengsarkar,False,ODI
905,M Azharuddin,4,41,3/27,4/68,1,West Indies,Bridgetown,7 Apr 1989,1118,DB Vengsarkar,False,Test
906,M Azharuddin,4,19,3/72,4/91,1,West Indies,Sharjah,13 Oct 1989,569,DB Vengsarkar,False,ODI
907,M Amarnath,3,6,2/76,3/82,1,West Indies,Sharjah,16 Oct 1989,573,DB Vengsarkar,False,ODI
908,G Gambhir,1,39,-,1/39,1,Sri Lanka,Colombo (RPS),24 Aug 2008,2750,V Kohli,False,ODI
909,KD Karthik,2,1,1/56,2/57,1,Zimbabwe,Bulawayo,28 May 2010,2981,V Kohli,False,ODI
910,SR Tendulkar,2,42,1/21,2/63,1,South Africa,Johannesburg,15 Jan 2011,3080,V Kohli,False,ODI
911,Yuvraj Singh,4,13,3/87,4/100,2,Ireland,Bengaluru,6 Mar 2011,3121,V Kohli,False,ODI
912,RG Sharma,4,110,3/79,4/189,1,West Indies,Kingston,16 Jun 2011,3163,V Kohli,False,ODI
913,I Sharma,6,4,5/162,6/166,4,Australia,Adelaide,24 Jan 2012,2031,V Kohli,False,Test
914,RA Jadeja,6,14,5/167,6/181,2,Sri Lanka,Perth,8 Feb 2012,3233,V Kohli,False,ODI
915,Yuvraj Singh,3,35,2/53,3/88,1,Pakistan,Ahmedabad,28 Dec 2012,298,V Kohli,False,T20I
916,RG Sharma,2,1,1/112,2/113,1,Australia,Bengaluru,2 Nov 2013,3428,V Kohli,False,ODI
917,MS Dhoni,4,11,3/119,4/130,1,Sri Lanka,Dhaka,6 Apr 2014,400,V Kohli,False,T20I
918,AT Rayudu,6,30,5/300,6/330,1,West Indies,Dharamsala,17 Oct 2014,3535,V Kohli,False,ODI
919,RG Sharma,3,202,2/59,3/261,1,Sri Lanka,Kolkata,13 Nov 2014,3544,V Kohli,False,ODI
920,RG Sharma,2,2,1/28,2/30,1,South Africa,Cuttack,5 Oct 2015,457,V Kohli,False,T20I
921,AM Rahane,3,23,2/59,3/82,1,South Africa,Indore,14 Oct 2015,3692,V Kohli,False,ODI
922,RG Sharma,2,125,1/9,2/134,1,Australia,Brisbane,15 Jan 2016,3724,V Kohli,False,ODI
923,KL Rahul,1,4,-,1/4,1,England,Bengaluru,1 Feb 2017,594,V Kohli,False,T20I
924,RG Sharma,2,105,1/48,2/153,1,South Africa,Port Elizabeth,13 Feb 2018,3976,V Kohli,False,ODI
925,MK Pandey,5,42,4/122,5/164,1,Sri Lanka,Pune,10 Jan 2020,1027,V Kohli,False,T20I
926,S Dhawan,1,49,-,1/49,2,West Indies,Kochi,8 Oct 2014,3531,AM Rahane,False,ODI
927,V Kohli,3,50,2/21,3/71,2,Zimbabwe,Auckland,14 Mar 2015,3636,AM Rahane,False,ODI
928,M Vijay,1,4,-,1/4,2,Zimbabwe,Harare,19 Jul 2015,442,AM Rahane,False,T20I
929,V Kohli,2,102,1/19,2/121,1,Australia,Kolkata,21 Sep 2017,3912,AM Rahane,False,ODI
930,RG Sharma,3,23,2/153,3/176,1,South Africa,Port Elizabeth,13 Feb 2018,3976,AM Rahane,False,ODI
931,HP Tillakaratne,10,1,9/234,10/235,2,Zimbabwe,Sharjah,10 Nov 1998,1372,TT Samaraweera,False,ODI
932,WPUJC Vaas,8,41,7/97,8/138,2,New Zealand,Sharjah,17 Apr 2001,1710,TT Samaraweera,False,ODI
933,HP Tillakaratne,6,165,5/345,6/510,2,West Indies,Colombo (SSC),29 Nov 2001,1572,TT Samaraweera,False,Test
934,TCB Fernando,9,13,8/400,9/413,1,Zimbabwe,Galle,12 Jan 2002,1585,TT Samaraweera,False,Test
935,KC Sangakkara,6,56,5/145,6/201,1,South Africa,Bloemfontein,6 Dec 2002,1912,TT Samaraweera,False,ODI
936,TM Dilshan,4,28,3/400,4/428,2,England,Colombo (SSC),18 Dec 2003,1675,TT Samaraweera,False,Test
937,KC Sangakkara,4,6,3/58,4/64,4,Australia,Cairns,9 Jul 2004,1706,TT Samaraweera,False,Test
938,ST Jayasuriya,4,93,3/216,4/309,3,Pakistan,Faisalabad,20 Oct 2004,1716,TT Samaraweera,False,Test
939,KC Sangakkara,4,19,3/86,4/105,2,Bangladesh,Colombo (RPS),4 Sep 2005,2279,TT Samaraweera,False,ODI
940,M Muralitharan,9,16,8/252,9/268,3,West Indies,Port of Spain,3 Apr 2008,1872,TT Samaraweera,False,Test
941,TM Dilshan,5,207,4/300,5/507,1,Pakistan,Lahore,1 Mar 2009,1912,TT Samaraweera,False,Test
942,KC Sangakkara,4,44,3/133,4/177,2,Pakistan,Colombo (PSS),12 Jul 2009,1924,TT Samaraweera,False,Test
943,AD Mathews,7,3,6/401,7/404,2,India,Rajkot,15 Dec 2009,2932,TT Samaraweera,False,ODI
944,SHT Kandamby,5,3,4/60,5/63,1,India,Delhi,27 Dec 2009,2936,TT Samaraweera,False,ODI
945,HDRL Thirimanne,6,7,5/192,6/199,1,Zimbabwe,Harare,7 Jun 2010,2989,TT Samaraweera,False,ODI
946,AD Mathews,5,34,4/193,5/227,2,West Indies,Galle,15 Nov 2010,1977,TT Samaraweera,False,Test
947,DPMD Jayawardene,4,52,3/15,4/67,1,England,Galle,26 Mar 2012,2038,TT Samaraweera,False,Test
948,AD Mathews,5,17,4/46,5/63,4,New Zealand,Colombo (PSS),25 Nov 2012,2063,TT Samaraweera,False,Test
949,Yasir Arafat,7,38,6/103,7/141,2,India,Durban,14 Sep 2007,29,Misbah-ul-Haq,False,T20I
950,Mohammad Sami,9,87,8/142,9/229,1,India,Delhi,22 Nov 2007,1849,Misbah-ul-Haq,False,Test
951,Abdur Rauf,7,5,6/80,7/85,4,Sri Lanka,Galle,4 Jul 2009,1921,Misbah-ul-Haq,False,Test
952,Umar Akmal,6,2,5/189,6/191,1,Australia,Gros Islet,14 May 2010,176,Misbah-ul-Haq,False,T20I
953,Younis Khan,5,16,4/177,5/193,1,Sri Lanka,Dubai (DSC),18 Nov 2011,3214,Misbah-ul-Haq,False,ODI
954,Shahid Afridi,6,26,5/71,6/97,1,Sri Lanka,Sharjah,20 Nov 2011,3215,Misbah-ul-Haq,False,ODI
955,Mohammad Hafeez,3,36,2/19,3/55,1,Bangladesh,Dhaka,22 Mar 2012,3267,Misbah-ul-Haq,False,ODI
956,Umar Akmal,4,55,3/78,4/133,2,Sri Lanka,Pallekele,7 Jun 2012,3272,Misbah-ul-Haq,False,ODI
957,Mohammad Hafeez,4,0,3/231,4/231,1,Ireland,Dublin,23 May 2013,3357,Misbah-ul-Haq,False,ODI
958,Sohaib Maqsood,4,0,3/89,4/89,1,Afghanistan,Fatullah,27 Feb 2014,3475,Misbah-ul-Haq,False,ODI
959,Mohammad Hafeez,3,3,2/93,3/96,2,India,Dhaka,2 Mar 2014,3479,Misbah-ul-Haq,False,ODI
960,Fawad Alam,4,33,3/14,4/47,1,Sri Lanka,Dambulla,30 Aug 2014,3519,Misbah-ul-Haq,False,ODI
961,Asad Shafiq,3,29,2/130,3/159,1,Australia,Dubai (DSC),10 Oct 2014,3532,Misbah-ul-Haq,False,ODI
962,Sarfaraz Ahmed,6,1,5/95,6/96,1,Sri Lanka,Colombo (PSS),25 Jun 2015,2168,Misbah-ul-Haq,False,Test
963,Saqlain Mushtaq,9,1,8/242,9/243,2,Sri Lanka,Karachi,13 Feb 2000,1559,Younis Khan,False,ODI
964,Inzamam-ul-Haq,3,49,2/32,3/81,1,West Indies,Bridgetown,19 Apr 2000,1593,Younis Khan,False,ODI
965,Shahid Afridi,2,2,1/1,2/3,2,West Indies,Sharjah,14 Feb 2002,1807,Younis Khan,False,ODI
966,Wasim Akram,5,13,4/172,5/185,2,Sri Lanka,Sharjah,12 Apr 2002,1829,Younis Khan,False,ODI
967,Faisal Iqbal,2,151,1/58,2/209,2,Zimbabwe,Harare,30 Nov 2002,1906,Younis Khan,False,ODI
968,Shahid Afridi,7,4,6/201,7/205,2,South Africa,Cape Town,18 Dec 2002,1923,Younis Khan,False,ODI
969,Inzamam-ul-Haq,4,3,3/78,4/81,4,Bangladesh,Multan,3 Sep 2003,1658,Younis Khan,False,Test
970,Mohammad Yousuf,3,42,2/100,3/142,1,South Africa,Lahore,3 Oct 2003,2046,Younis Khan,False,ODI
971,Yasir Hameed,3,26,2/29,3/55,2,India,Peshawar,19 Mar 2004,2115,Younis Khan,False,ODI
972,Shahid Afridi,7,12,6/240,7/252,2,Zimbabwe,Peshawar,3 Oct 2004,2184,Younis Khan,False,ODI
973,Inzamam-ul-Haq,6,16,5/265,6/281,2,India,Ahmedabad,12 Apr 2005,2238,Younis Khan,False,ODI
974,Yasir Hameed,2,1,1/0,2/1,4,West Indies,Bridgetown,26 May 2005,1752,Younis Khan,False,Test
975,Shahid Afridi,5,21,4/456,5/477,1,India,Lahore,13 Jan 2006,1781,Younis Khan,False,Test
976,Shoaib Malik,3,19,2/15,3/34,2,Sri Lanka,Colombo (RPS),19 Mar 2006,2352,Younis Khan,False,ODI
977,Inzamam-ul-Haq,4,48,3/399,4/447,2,England,Leeds,4 Aug 2006,1813,Younis Khan,False,Test
978,Imran Farhat,2,46,1/26,2/72,1,West Indies,Karachi,27 Nov 2006,1818,Younis Khan,False,Test
979,Shoaib Malik,4,2,3/62,4/64,1,South Africa,Johannesburg,2 Feb 2007,14,Younis Khan,False,T20I
980,Imran Nazir,5,82,4/170,5/252,1,Zimbabwe,Kingston,21 Mar 2007,2547,Younis Khan,False,ODI
981,Mohammad Yousuf,3,60,2/13,3/73,1,South Africa,Lahore,20 Oct 2007,2635,Younis Khan,False,ODI
982,Mohammad Yousuf,3,2,2/129,3/131,2,Zimbabwe,Hyderabad (Sind),24 Jan 2008,2663,Younis Khan,False,ODI
983,Salman Butt,2,0,1/75,2/75,1,Bangladesh,Dhaka,8 Jun 2008,2704,Younis Khan,False,ODI
984,Salman Butt,3,1,2/34,3/35,1,Sri Lanka,King City (NW),13 Oct 2008,76,Younis Khan,False,T20I
985,Umar Akmal,4,6,3/101,4/107,1,Sri Lanka,Dambulla,3 Aug 2009,2867,Younis Khan,False,ODI
986,Asad Shafiq,3,10,2/90,3/100,1,New Zealand,Christchurch,30 Dec 2010,195,Younis Khan,False,T20I
987,Misbah-ul-Haq,4,89,3/84,4/173,2,New Zealand,Napier,1 Feb 2011,3093,Younis Khan,False,ODI
988,Misbah-ul-Haq,3,52,2/74,3/126,1,Zimbabwe,Bulawayo,8 Sep 2011,3188,Younis Khan,False,ODI
989,Sohail Tanvir,8,22,7/234,8/256,1,Sri Lanka,Dubai (DSC),18 Nov 2011,3214,Younis Khan,False,ODI
990,Azhar Ali,3,5,2/40,3/45,2,Sri Lanka,Pallekele,3 Jul 2015,2169,Younis Khan,False,Test
991,DL Haynes,2,64,1/33,2/97,1,Australia,Melbourne,9 Jan 1992,699,BC Lara,False,ODI
992,CL Hooper,4,5,3/168,4/173,1,Australia,Brisbane,12 Jan 1992,703,BC Lara,False,ODI
993,WKM Benjamin,8,9,7/128,8/137,2,Australia,Melbourne,18 Mar 1992,749,BC Lara,False,ODI
994,DL Haynes,1,10,-,1/10,1,Pakistan,Sydney,17 Dec 1992,782,BC Lara,False,ODI
995,CL Hooper,5,33,4/448,5/481,2,Australia,Sydney,2 Jan 1993,1208,BC Lara,False,Test
996,CL Hooper,4,17,3/30,4/47,2,South Africa,Cape Town,17 Feb 1993,804,BC Lara,False,ODI
997,RIC Holder,4,68,3/95,4/163,1,New Zealand,Wellington,25 Jan 1995,973,BC Lara,False,ODI
998,SL Campbell,2,56,1/13,2/69,2,Sri Lanka,Sharjah,11 Oct 1995,1006,BC Lara,False,ODI
999,CL Hooper,3,44,2/87,3/131,1,South Africa,Lahore,3 Nov 1997,1249,BC Lara,False,ODI
1000,JR Murray,6,32,5/187,6/219,2,England,Bridgetown,29 Mar 1998,1299,BC Lara,False,ODI
1001,JC Adams,4,33,3/116,4/149,2,Australia,Port of Spain,5 Mar 1999,1448,BC Lara,False,Test
1002,WW Hinds,3,41,2/21,3/62,1,Sri Lanka,Sharjah,17 Oct 1999,1515,BC Lara,False,ODI
1003,JC Adams,4,138,3/164,4/302,3,England,Manchester,3 Aug 2000,1506,BC Lara,False,Test
1004,S Chanderpaul,2,53,1/18,2/71,2,South Africa,Port of Spain,12 May 2001,1717,BC Lara,False,ODI
1005,WW Hinds,2,2,1/34,2/36,2,New Zealand,Port Elizabeth,13 Feb 2003,1949,BC Lara,False,ODI
1006,CH Gayle,2,176,1/77,2/253,1,Zimbabwe,Bulawayo,22 Nov 2003,2065,BC Lara,False,ODI
1007,RR Sarwan,4,29,3/29,4/58,2,South Africa,Port Elizabeth,28 Jan 2004,2090,BC Lara,False,ODI
1008,RR Sarwan,3,31,2/201,3/232,1,Bangladesh,Southampton,15 Sep 2004,2175,BC Lara,False,ODI
1009,DJ Bravo,4,28,3/137,4/165,1,India,Port of Spain,28 May 2006,2382,BC Lara,False,ODI
1010,MN Samuels,4,24,3/48,4/72,1,Pakistan,Faisalabad,7 Dec 2006,2460,BC Lara,False,ODI
1011,MN Samuels,4,7,3/65,4/72,2,India,Vadodara,31 Jan 2007,2493,BC Lara,False,ODI
1012,MN Samuels,3,5,2/168,3/173,1,England,Bridgetown,21 Apr 2007,2578,BC Lara,False,ODI
1013,BC Lara,5,46,4/94,5/140,4,England,The Oval,31 Aug 2000,1509,RR Sarwan,False,Test
